2016_04_08,0.445,0.311,0.375,0.864,0.457,0.679,1,0,0,0,0.866,-0.5
2016_04_09,0.468,0.331,0.411,0.802,0.432,0.603,0,1,0,0,0.866,-0.5
2016_04_10,0.57,0.321,0.446,0.778,0.321,0.546,0,1,0,0,0.866,-0.5
2016_04_11,0.608,0.322,0.474,0.827,0.37,0.59,0,0,1,0,0.866,-0.5
2016_04_12,0.623,0.394,0.506,0.778,0.259,0.561,0,1,0,0,0.866,-0.5
2016_04_13,0.507,0.394,0.453,0.926,0.58,0.73,1,0,0,0,0.866,-0.5
2016_04_14,0.557,0.362,0.454,0.864,0.37,0.63,1,0,0,0,0.866,-0.5
2016_04_15,0.55,0.371,0.465,0.914,0.432,0.672,0,1,0,0,0.866,-0.5
2016_04_16,0.591,0.42,0.503,0.926,0.37,0.658,0,0,1,0,0.866,-0.5
2016_04_17,0.525,0.328,0.425,0.914,0.543,0.77,0,1,0,0,0.866,-0.5
2016_04_18,0.413,0.329,0.364,0.926,0.593,0.789,0,1,0,0,0.866,-0.5
2016_04_19,0.535,0.296,0.406,0.877,0.346,0.582,0,1,0,0,0.866,-0.5
2016_04_20,0.616,0.279,0.45,0.901,0.309,0.588,0,0,1,0,0.866,-0.5
2016_04_21,0.655,0.289,0.494,0.852,0.296,0.586,0,0,1,0,0.866,-0.5
2016_04_22,0.584,0.446,0.524,0.926,0.568,0.695,0,0,1,0,0.866,-0.5
2016_04_23,0.516,0.326,0.43,0.951,0.741,0.852,0,0,1,0,0.866,-0.5
2016_04_24,0.408,0.212,0.312,0.901,0.296,0.647,0,0,1,0,0.866,-0.5
2016_04_25,0.415,0.18,0.311,0.864,0.309,0.6,0,0,1,0,0.866,-0.5
2016_04_26,0.367,0.27,0.329,0.864,0.617,0.74,0,0,0,1,0.866,-0.5
2016_04_27,0.374,0.223,0.295,0.864,0.37,0.609,0,0,1,0,0.866,-0.5
2016_04_28,0.456,0.246,0.36,0.642,0.309,0.437,0,1,0,0,0.866,-0.5
2016_04_29,0.526,0.294,0.424,0.704,0.358,0.499,0,0,0,1,0.866,-0.5
2016_04_30,0.576,0.317,0.437,0.926,0.247,0.63,1,0,0,0,0.866,-0.5
2016_05_01,0.47,0.302,0.375,0.938,0.704,0.85,1,0,0,0,0.5,-0.866
2016_05_02,0.574,0.339,0.462,0.963,0.469,0.734,0,0,1,0,0.5,-0.866
2016_05_03,0.532,0.365,0.462,0.753,0.506,0.64,0,1,0,0,0.5,-0.866
2016_05_04,0.545,0.285,0.428,0.827,0.333,0.573,1,0,0,0,0.5,-0.866
2016_05_05,0.632,0.245,0.465,0.778,0.247,0.502,0,1,0,0,0.5,-0.866
2016_05_06,0.7,0.387,0.55,0.765,0.247,0.447,1,0,0,0,0.5,-0.866
2016_05_07,0.702,0.447,0.576,0.852,0.198,0.484,1,0,0,0,0.5,-0.866
2016_05_08,0.716,0.387,0.557,0.753,0.235,0.527,0,1,0,0,0.5,-0.866
2016_05_09,0.701,0.411,0.567,0.802,0.407,0.584,0,0,1,0,0.5,-0.866
2016_05_10,0.693,0.501,0.595,0.753,0.457,0.564,0,1,0,0,0.5,-0.866
2016_05_11,0.638,0.44,0.527,0.951,0.63,0.755,0,1,0,0,0.5,-0.866
2016_05_12,0.556,0.465,0.495,0.951,0.63,0.822,0,0,1,0,0.5,-0.866
2016_05_13,0.541,0.459,0.501,0.889,0.778,0.831,0,0,0,1,0.5,-0.866
2016_05_14,0.52,0.402,0.48,0.938,0.667,0.779,0,0,0,1,0.5,-0.866
2016_05_15,0.469,0.31,0.388,0.815,0.395,0.602,0,1,0,0,0.5,-0.866
2016_05_16,0.481,0.293,0.401,0.84,0.481,0.64,1,0,0,0,0.5,-0.866
2016_05_17,0.564,0.344,0.461,0.901,0.383,0.653,0,1,0,0,0.5,-0.866
2016_05_18,0.645,0.375,0.518,0.889,0.358,0.611,0,1,0,0,0.5,-0.866
2016_05_19,0.491,0.395,0.447,0.901,0.543,0.697,0,1,0,0,0.5,-0.866
2016_05_20,0.633,0.304,0.496,0.84,0.272,0.572,0,0,0,1,0.5,-0.866
2016_05_21,0.736,0.455,0.602,0.877,0.37,0.6,0,0,1,0,0.5,-0.866
2016_05_22,0.78,0.478,0.612,0.79,0.333,0.585,1,0,0,0,0.5,-0.866
2016_05_23,0.452,0.399,0.427,0.901,0.63,0.806,0,1,0,0,0.5,-0.866
2016_05_24,0.547,0.387,0.454,0.877,0.531,0.749,0,0,1,0,0.5,-0.866
2016_05_25,0.664,0.385,0.539,0.951,0.383,0.636,1,0,0,0,0.5,-0.866
2016_05_26,0.733,0.485,0.626,0.802,0.358,0.577,1,0,0,0,0.5,-0.866
2016_05_27,0.763,0.534,0.651,0.901,0.309,0.627,0,1,0,0,0.5,-0.866
2016_05_28,0.756,0.531,0.64,0.951,0.457,0.706,0,1,0,0,0.5,-0.866
2016_05_29,0.612,0.497,0.559,0.975,0.704,0.845,0,0,1,0,0.5,-0.866
2016_05_30,0.616,0.501,0.555,0.877,0.531,0.71,0,0,0,1,0.5,-0.866
2016_05_31,0.609,0.48,0.533,0.864,0.469,0.672,0,0,1,0,0.5,-0.866
2016_06_01,0.638,0.463,0.555,0.864,0.494,0.664,0,0,1,0,0,-1
2016_06_02,0.64,0.486,0.54,0.926,0.481,0.753,0,0,0,1,0,-1
2016_06_03,0.565,0.478,0.527,0.938,0.728,0.843,0,0,1,0,0,-1
2016_06_04,0.635,0.479,0.553,0.901,0.543,0.76,1,0,0,0,0,-1
2016_06_05,0.623,0.491,0.562,0.975,0.63,0.782,0,0,1,0,0,-1
2016_06_06,0.739,0.482,0.616,0.975,0.383,0.665,0,1,0,0,0,-1
2016_06_07,0.727,0.542,0.63,0.753,0.494,0.644,0,1,0,0,0,-1
2016_06_08,0.633,0.508,0.574,0.938,0.63,0.774,0,1,0,0,0,-1
2016_06_09,0.661,0.494,0.585,0.951,0.407,0.682,1,0,0,0,0,-1
2016_06_10,0.722,0.459,0.606,0.852,0.346,0.587,1,0,0,0,0,-1
2016_06_11,0.632,0.533,0.589,0.901,0.519,0.664,1,0,0,0,0,-1
2016_06_12,0.578,0.506,0.548,0.864,0.642,0.753,0,1,0,0,0,-1
2016_06_13,0.574,0.482,0.526,0.926,0.617,0.825,0,0,1,0,0,-1
